iter	Passed	Remaining
133	35173	227314
134	35472	227286
135	35757	227163
136	36038	227014
137	36330	226935
138	36615	226802
139	36904	226701
140	37212	226707
141	37530	226766
142	37875	226989
143	38550	229163
144	39183	231048
145	39820	232924
146	40454	234744
147	41090	236550
148	41747	238438
149	42498	240825
150	43229	243055
151	44003	245491
152	44729	247621
153	45457	249723
154	46191	251818
155	46826	253344
156	47465	254862
157	48089	256272
158	48715	257668
159	49352	259101
160	49986	260488
161	50616	261831
162	51330	263581
163	52069	265428
164	52802	267214
165	53534	268964
166	54219	270448
167	54954	272153
168	55626	273521
169	56243	274600
170	56836	275541
171	57458	276601
172	58081	277648
173	58712	278713
174	59327	279686
175	59970	280772
176	60596	281758
177	61228	282752
178	61868	283764
179	62519	284812
180	63152	285755
181	63766	286597
182	64365	287356
183	64999	288256
184	65624	289104
185	66256	289959
186	67013	291345
187	67657	292223
188	68355	293314
189	68995	294140
190	69679	295133
191	70355	296080
192	71015	296940
193	71646	297666
194	72271	298351
195	72908	299074
196	73551	299807
197	74172	300434
198	74798	301072
199	75437	301750
200	76042	302277
201	76652	302814
202	77287	303439
203	77910	304003
204	78553	304633
205	79160	305113
206	79799	305704
207	80451	306334
208	81082	306873
209	81727	307451
210	82392	308093
211	83031	308624
212	83663	309121
213	84295	309608
214	84925	310077
215	85576	310610
216	86219	311104
217	86855	311563
218	87487	311999
219	88109	312386
220	88868	313250
221	89546	313816
222	90335	314755
223	90986	315201
224	91727	315950
225	92488	316753
226	93145	317185
227	93821	317675
228	94512	318207
229	95148	318542
230	95858	319113
231	96532	319554
232	97155	319819
233	97794	320132
234	98443	320464
235	99081	320754
236	99694	320957
237	100316	321182
238	100941	321408
239	101590	321703
240	102213	321908
241	102830	322088
242	103439	322238
243	104047	322376
244	104665	322540
245	105310	322781
246	105922	322913
247	106547	323079
248	107146	323159
249	107767	323303
250	108384	323424
251	109020	323599
252	109634	323704
253	110280	323895
254	110908	324027
255	111579	324278
256	112210	324406
257	112858	324577
258	113502	324731
259	114143	324869
260	114788	325013
261	115421	325117
262	116042	325184
263	116699	325343
264	117324	325410
265	117970	325527
266	118589	325564
267	119217	325622
268	119864	325728
269	120521	325854
270	121180	325981
271	121796	325984
272	122440	326059
273	123064	326077
274	123687	326084
275	124319	326112
276	124938	326104
277	125566	326111
278	126201	326133
279	126839	326158
280	127485	326198
281	128121	326209
282	128753	326206
283	129396	326226
284	130043	326248
285	130684	326253
286	131326	326257
287	132011	326362
288	132686	326436
289	133319	326403
290	134022	326535
291	134674	326539
292	135371	326647
293	136014	326620
294	136665	326607
295	137298	326547
296	137921	326459
297	138541	326362
298	139159	326257
299	139776	326146
300	140395	326033
301	141005	325901
302	141637	325813
303	142273	325730
304	142891	325604
305	143508	325473
306	144132	325353
307	144757	325233
308	145382	325111
309	145994	324956
310	146635	324860
311	147271	324753
312	147906	324637
313	148553	324546
314	149183	324415
315	149816	324286
316	150480	324220
317	151105	324069
318	151738	323931
319	152351	323747
320	152967	323567
321	153646	323515
322	154367	323549
323	155090	323584
324	155814	323614
325	156529	323623
326	157277	323692
327	157947	323600
328	158701	323674
329	159387	323605
330	160061	323507
331	160684	323304
332	161312	323109
333	161953	322937
334	162575	322725
335	163197	322509
336	163826	322304
337	164439	322068
338	165092	321906
339	165736	321724
340	166378	321534
341	167010	321323
342	167640	321106
343	168265	320878
344	168903	320672
345	169535	320451
346	170172	320237
347	170804	320012
348	171546	319990
349	172157	319721
350	172776	319464
351	173406	319224
352	174029	318971
353	174661	318731
354	175284	318475
355	175918	318234
356	176555	317997
357	177179	317734
358	177814	317490
359	178439	317225
360	179108	317037
361	179731	316764
362	180373	316522
363	181010	316271
364	181655	316030
365	182289	315769
366	182917	315495
367	183539	315208
368	184168	314933
369	184793	314648
370	185421	314366
371	186043	314073
372	186661	313772
373	187278	313466
374	187905	313175
375	188536	312890
376	189160	312591
377	189778	312280
378	190408	311989
379	191038	311693
380	191667	311396
381	192326	311146
382	193029	310963
383	193674	310685
384	194351	310456
385	195004	310188
386	195658	309918
387	196341	309692
388	196996	309420
389	197729	309268
390	198461	309113
391	199134	308862
392	199815	308620
393	200442	308294
394	201132	308064
395	201801	307797
396	202438	307482
397	203066	307150
398	203700	306827
399	204313	306470
400	204932	306120
401	205561	305785
402	206172	305421
403	206811	305098
404	207449	304771
405	208082	304435
406	208719	304105
407	209342	303751
408	209965	303397
409	210583	303034
410	211202	302671
411	211822	302310
412	212442	301946
413	213083	301610
414	213720	301268
415	214364	300934
416	215087	300709
417	215724	300362
418	216360	300013
419	216959	299610
420	217627	299301
421	218035	298635
422	218291	297764
423	218564	296917
424	218835	296071
425	219088	295204
426	219321	294311
427	219549	293416
428	219919	292713
429	220145	291820
430	220389	290954
431	220630	290088
432	220871	289224
433	221221	288505
434	221447	287627
435	221704	286792
436	221947	285941
437	222293	285225
438	222526	284367
439	222775	283532
440	223049	282731
441	223313	281920
442	223632	281181
443	223883	280358
444	224145	279551
445	224394	278732
446	224715	278003
447	224948	277169
448	225203	276362
449	225436	275533
450	225704	274748
451	225950	273939
452	226181	273114
453	226522	272425
454	226778	271635
455	227033	270846
456	227263	270031
457	227496	269221
458	227831	268533
459	228084	267751
460	228323	266955
461	228570	266170
462	228808	265378
463	229044	264585
464	229279	263794
465	229513	263004
466	229789	262265
467	230053	261513
468	230296	260740
469	230524	259953
470	230812	259235
471	231082	258499
472	231324	257733
473	231549	256951
474	231776	256174
475	232009	255405
476	232250	254647
477	232484	253885
478	232720	253126
479	232963	252377
480	233262	251691
481	233508	250948
482	233732	250186
483	233978	249448
484	234219	248707
485	234463	247971
486	234696	247226
487	234927	246481
488	235150	245729
489	235402	245011
490	235644	244282
491	235890	243561
492	236121	242826
493	236358	242099
494	236580	241359
495	236819	240639
496	237055	239917
497	237329	239235
498	237565	238517
499	237840	237840
500	238106	237155
501	238336	236437
502	238586	235740
503	238816	235026
504	239068	234334
505	239308	233633
506	239555	232940
507	239788	232236
508	240011	231523
509	240276	230853
510	240521	230166
511	240780	229493
512	241008	228793
513	241268	228125
514	241507	227439
515	241770	226777
516	242006	226090
517	242250	225414
518	242486	224732
519	242719	224049
520	242959	223373
521	243192	222693
522	243432	222021
523	243681	221359
524	243929	220698
525	244158	220021
526	244446	219398
527	244674	218724
528	244924	218070
529	245155	217402
530	245385	216734
531	245630	216081
532	245866	215421
533	246117	214776
534	246344	214112
535	246588	213464
536	246927	212900
537	247148	212235
538	247404	211602
539	247634	210948
540	247879	210308
541	248101	209650
542	248336	209005
543	248568	208358
544	248799	207713
545	249024	207064
546	249270	206434
547	249602	205876
548	249845	205246
549	250089	204618
550	250318	203980
551	250571	203362
552	250805	202730
553	251081	202134
554	251327	201515
555	251565	200890
556	251810	200272
557	252064	199663
558	252341	199074
559	252597	198469
560	252852	197865
561	253108	197262
562	253411	196697
563	253699	196122
564	253975	195538
565	254277	194976
566	254545	194388
567	254810	193799
568	255074	193211
569	255349	192632
570	255678	192094
571	255977	191535
572	256265	190969
573	256540	190393
574	256840	189838
575	257145	189287
576	257441	188731
577	257773	188201
578	258135	187694
579	258750	187370
580	259393	187066
581	260012	186744
582	260631	186421
583	261275	186114
584	261908	185798
585	262538	185479
586	263163	185156
587	263896	184906
588	264592	184630
589	265284	184350
590	265915	184026
591	266600	183738
592	267223	183406
593	267916	183121
594	268534	182783
595	269189	182470
596	269786	182117
597	270349	181739
598	270950	181387
599	271584	181056
600	272194	180707
601	272800	180356
602	273401	180000
603	274004	179645
604	274639	179310
605	275296	178988
606	275894	178626
607	276563	178310
608	277174	177955
609	277774	177593
610	278392	177241
611	278996	176880
612	279556	176489
613	280154	176123
614	280781	175773
615	281360	175393
616	281963	175027
617	282604	174684
618	283221	174325
619	283835	173963
620	284474	173616
621	285133	173280
622	285606	172830
623	285856	172246
624	286145	171687
625	286529	171185
626	286790	170610
627	287023	170020
628	287404	169518
629	287665	168946
630	287918	168370
631	288157	167787
632	288433	167227
633	288778	166708
634	289028	166134
635	289288	165567
636	289538	164995
637	289883	164479
638	290129	163907
639	290389	163343
640	290630	162771
641	290990	162265
642	291228	161692
643	291476	161126
644	291742	160571
645	292001	160013
646	292249	159450
647	292497	158887
648	292762	158335
649	293023	157781
650	293294	157234
651	293552	156681
652	293812	156130
653	294058	155572
654	294291	155008
655	294549	154458
656	294802	153907
657	295048	153353
658	295290	152798
659	295531	152243
660	295797	151702
661	296033	151146
662	296267	150591
663	296559	150066
664	296808	149520
665	297075	148983
666	297330	148442
667	297570	147894
668	297826	147355
669	298088	146819
670	298340	146280
671	298578	145734
672	298818	145191
673	299076	144657
674	299353	144133
675	299624	143606
676	299892	143080
677	300146	142547
678	300393	142012
679	300636	141476
680	300873	140937
681	301122	140406
682	301360	139870
683	301614	139342
684	301861	138812
685	302103	138280
686	302356	137754
687	302618	137233
688	302862	136705
689	303105	136177
690	303350	135651
691	303604	135130
692	303860	134610
693	304139	134101
694	304496	133627
695	304887	133169
696	305274	132708
697	305606	132225
698	305979	131759
699	306340	131288
700	306655	130799
701	306955	130303
702	307295	129824
703	307630	129344
704	307965	128864
705	308273	128374
706	308580	127884
707	308869	127386
708	309165	126893
709	309449	126395
710	309800	125924
711	310139	125449
712	310399	124943
713	310670	124442
714	310947	123944
715	311245	123454
716	311550	122969
717	311890	122497
718	312215	122020
719	312544	121545
720	312835	121055
721	313148	120575
722	313426	120081
723	313702	119588
724	313987	119098
725	314314	118625
726	314637	118151
727	314965	117679
728	315292	117207
729	315583	116722
730	315858	116232
731	316186	115762
732	316464	115274
733	316739	114785
734	317036	114305
735	317355	113833
736	317624	113345
737	317927	112868
738	318203	112383
739	318475	111896
740	318753	111413
741	319039	110932
742	319386	110474
743	319664	109992
744	319957	109515
745	320230	109032
746	320507	108552
747	320793	108074
748	321086	107600
749	321394	107131
750	321664	106650
751	322035	106203
752	322385	105749
753	322706	105286
754	322998	104813
755	323290	104342
756	323597	103876
757	323881	103402
758	324186	102936
759	324464	102462
760	324771	101998
761	325049	101524
762	325333	101053
763	325618	100583
764	325887	100109
765	326175	99641
766	326446	99168
767	326725	98698
768	327003	98228
769	327284	97760
770	327569	97293
771	327880	96835
772	328199	96379
773	328487	95914
774	328845	95471
775	329119	95003
776	329426	94545
777	329702	94079
778	330050	93634
779	330347	93174
780	330642	92715
781	330924	92252
782	331278	91810
783	331563	91349
784	331868	90893
785	332127	90426
786	332469	89982
787	332786	89531
788	333132	89088
789	333510	88654
790	333810	88200
791	334127	87750
792	334423	87295
793	334714	86840
794	335031	86391
795	335314	85934
796	335599	85478
797	335884	85023
798	336165	84567
799	336445	84111
800	336725	83655
801	337006	83201
802	337305	82751
803	337583	82296
804	337878	81846
805	338138	81388
806	338434	80939
807	338718	80487
808	338999	80035
809	339263	79580
810	339531	79126
811	339824	78678
812	340105	78228
813	340371	77775
814	340649	77325
815	340950	76880
816	341256	76438
817	341548	75992
818	341815	75541
819	342105	75096
820	342392	74650
821	342665	74202
822	342943	73755
823	343218	73308
824	343523	72868
825	343889	72441
826	344148	71992
827	344404	71542
828	344664	71094
829	344936	70649
830	345221	70207
831	345525	69769
832	345830	69332
833	346095	68887
834	346386	68447
835	346680	68009
836	346944	67565
837	347215	67122
838	347479	66679
839	347781	66244
840	348063	65805
841	348338	65365
842	348606	64924
843	348899	64488
844	349255	64064
845	349520	63624
846	349785	63184
847	350071	62748
848	350357	62313
849	350678	61884
850	350933	61444
851	351189	61004
852	351484	60572
853	351747	60134
854	352021	59699
855	352306	59266
856	352752	58860
857	353051	58430
858	353512	58027
859	353797	57594
860	354085	57163
861	354360	56730
862	354786	56321
863	355076	55891
864	355362	55461
865	355744	55045
866	356082	54623
867	356400	54199
868	356673	53767
869	357086	53357
870	357393	52931
871	357666	52501
872	357934	52070
873	358240	51645
874	358510	51215
875	358820	50791
876	359100	50364
877	359399	49939
878	359684	49512
879	359945	49083
880	360222	48656
881	360522	48233
882	360788	47805
883	361098	47383
884	361376	46958
885	361662	46534
886	361962	46112
887	362231	45686
888	362517	45263
889	362874	44849
890	363165	44427
891	363410	44000
892	363695	43578
893	363956	43153
894	364228	42730
895	364527	42311
896	364832	41892
897	365120	41472
898	365421	41054
899	365717	40635
900	366042	40219
901	366296	39797
902	366556	39375
903	366905	38963
904	367175	38543
905	367432	38122
906	367695	37701
907	367965	37282
908	368292	36869
909	368553	36450
910	368826	36032
911	369110	35615
912	369409	35201
913	369673	34783
914	369945	34366
915	370245	33952
916	370513	33536
917	370813	33122
918	371105	32708
919	371399	32295
920	371649	31878
921	371919	31463
922	372195	31049
923	372464	30635
924	372743	30222
925	373034	29810
926	373325	29398
927	373596	28985
928	373895	28575
929	374156	28162
930	374436	27750
931	374751	27342
932	375101	26936
933	375363	26524
934	375615	26112
935	375878	25701
936	376152	25290
937	376439	24881
938	376720	24472
939	377023	24065
940	377319	23657
941	377589	23248
942	377887	22841
943	378162	22433
944	378438	22025
945	378723	21618
946	379011	21211
947	379278	20804
948	379555	20397
949	379842	19991
950	380135	19586
951	380485	19184
952	380737	18777
953	380996	18370
954	381289	17966
955	381558	17561
956	381853	17157
957	382108	16752
958	382388	16348
959	382673	15944
960	382947	15541
961	383234	15138
962	383514	14735
963	383793	14332
964	384074	13930
965	384359	13528
966	384623	13125
967	384890	12723
968	385172	12322
969	385442	11920
970	385722	11520
971	386006	11119
972	386266	10718
973	386551	10318
974	386815	9918
975	387101	9518
976	387384	9119
977	387667	8720
978	387932	8321
979	388210	7922
980	388502	7524
981	388786	7126
982	389064	6728
983	389338	6330
984	389620	5933
985	389904	5536
986	390204	5139
987	390485	4742
988	390741	4345
989	391049	3949
990	391376	3554
991	391628	3158
992	391884	2762
993	392216	2367
994	392523	1972
995	392790	1577
996	393062	1182
997	393355	788
998	393657	394
999	393926	0
